City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Arrondissement de Limoux,42.92,2.17,12.78,93,31,0.5,FR,1604350590
Don Sak,9.32,99.69,27.22,89,29,1.64,TH,1604350591
Ust-Nera,64.57,143.2,-27.83,76,0,1.17,RU,1604350591
Tumen,42.97,129.84,-1.89,80,3,3.47,CN,1604350591
Kota Tinggi,1.74,103.9,24.44,100,20,2.5,MY,1604350591
Hamilton,32.29,-64.78,23.33,100,90,8.2,BM,1604350461
Finnsnes,69.23,17.98,4.0,80,75,8.7,NO,1604350534
La Tuque,47.43,-72.78,-2.0,46,3,6.7,CA,1604350592
Roura,4.73,-52.33,26.0,94,20,1.5,GF,1604350592
Xapuri,-10.65,-68.5,33.07,36,87,0.72,BR,1604350592
Amilly,47.97,2.77,14.44,98,100,0.45,FR,1604350305
Río Grande,-14.52,-75.2,26.29,39,38,4.62,PE,1604350593
Grand Gaube,-20.01,57.66,20.56,69,39,0.45,MU,1604350593
Belle Fourche,44.67,-103.85,23.33,20,1,2.6,US,1604350593
Dekar,-21.53,21.93,23.69,50,100,6.32,BW,1604350593
Olinda,-8.01,-34.86,28.0,69,40,4.1,BR,1604350593
Okato,-39.2,173.88,16.67,88,100,4.92,NZ,1604350594
Banepā,27.63,85.52,15.0,93,20,1.0,NP,1604350594
Marabba,12.35,32.18,32.42,26,62,1.98,SD,1604350594
Okhotsk,59.38,143.3,-0.27,93,100,10.83,RU,1604350595
Brooks,50.58,-111.89,24.0,16,4,5.1,CA,1604350595
Jos,9.92,8.9,19.0,52,0,4.1,NG,1604350447
Barcelos,-0.97,-62.92,30.91,60,55,0.38,BR,1604350595
Inhambane,-23.86,35.38,22.1,78,2,3.07,MZ,1604350595
Antofagasta,-23.65,-70.4,17.0,67,20,7.2,CL,1604350596
Souillac,-20.52,57.52,22.0,73,40,5.1,MU,1604350596
San José,16.98,-89.9,26.36,75,67,2.52,GT,1604350596
Bathsheba,13.22,-59.52,29.0,66,20,7.7,BB,1604350597
Koungheul,13.98,-14.8,30.19,18,9,1.18,SN,1604350597
Anadyr,64.75,177.48,-8.0,92,90,4.0,RU,1604350597
Kutum,14.2,24.67,23.3,29,4,7.69,SD,1604350597
Iqaluit,63.75,-68.51,-8.0,67,75,6.2,CA,1604350598
Harnai,30.1,67.94,13.71,22,0,1.55,PK,1604350598
Labuhan,-6.88,112.21,25.91,82,100,3.94,ID,1604350598
Piedecuesta,6.99,-73.05,24.0,78,40,3.6,CO,1604350599
Kologriv,58.83,44.32,-0.48,97,24,3.39,RU,1604350599
Piney Green,34.72,-77.32,11.11,45,0,4.98,US,1604350312
Birjand,32.87,59.22,5.0,15,0,2.1,IR,1604350599
Isangel,-19.55,169.27,24.0,91,100,7.19,VU,1604350600
Juneau,58.3,-134.42,-2.0,86,90,1.27,US,1604350600
Beberibe,-4.18,-38.13,28.0,74,0,6.7,BR,1604350600
Yar-Sale,66.83,70.83,-8.3,94,27,3.95,RU,1604350600
Nambucca Heads,-30.65,153.0,17.78,67,90,4.6,AU,1604350600
Yatou,37.15,122.38,6.28,63,48,2.81,CN,1604350601
Trinidad,37.17,-104.5,23.33,13,1,2.1,US,1604350601
Mambolo,8.92,-13.04,25.73,84,12,1.37,SL,1604350601
Grimshaw,56.18,-117.6,11.0,70,90,4.6,CA,1604350601
Dubovka,49.06,44.83,7.0,70,0,4.0,RU,1604350602
Laem Sing,12.48,102.07,24.98,86,8,2.88,TH,1604350602
Valle de Allende,26.93,-105.4,20.62,33,51,7.11,MX,1604350602
Bowen,-20.02,148.23,25.0,78,40,3.6,AU,1604350602
Auki,-8.77,160.7,26.97,81,100,1.78,SB,1604350603
Beloha,-25.17,45.05,20.5,81,1,5.72,MG,1604350603
Barra de Tecoanapa,16.52,-98.75,30.01,53,6,3.64,MX,1604350603
Guderup,54.99,9.87,12.0,81,51,4.6,DK,1604350603
Gewanē,10.17,40.65,23.61,32,0,1.88,ET,1604350604
Mahāsamund,21.1,82.1,19.67,50,0,1.86,IN,1604350604
Balvi,57.13,27.27,6.29,81,100,5.11,LV,1604350604
Shingū,33.73,135.98,15.1,91,100,2.0,JP,1604350605
Lluta,-16.01,-72.01,20.0,19,0,6.2,PE,1604350605
Gairo,-6.14,36.87,16.95,89,68,2.14,TZ,1604350605
Maryville,35.76,-83.97,11.11,31,1,3.1,US,1604350605
Copiapó,-27.37,-70.33,19.0,55,0,5.1,CL,1604350606
Tigil',57.8,158.67,-0.67,91,100,3.03,RU,1604350606
San Vicente,15.3,120.65,24.0,94,75,1.0,PH,1604350606
Ryōtsu-minato,38.08,138.43,13.92,69,58,8.58,JP,1604350606
Nanchong,30.8,106.08,13.47,91,100,0.8,CN,1604350606
Kumphawapi,17.11,103.01,22.22,88,38,1.79,TH,1604350607
Weyburn,49.67,-103.85,19.0,25,0,5.1,CA,1604350607
Departamento de Florida,-33.83,-55.92,19.57,72,31,3.08,UY,1604350607
Maniitsoq,65.42,-52.9,-3.98,85,99,8.07,GL,1604350607
Dargaville,-35.93,173.88,20.37,68,86,4.88,NZ,1604350608
Locri,38.24,16.26,16.0,82,20,3.6,IT,1604350608
Bilma,18.69,12.92,23.3,21,0,3.73,NE,1604350608
Kieta,-6.22,155.63,28.25,71,15,0.79,PG,1604350609
Ashquelon,31.67,34.57,21.11,68,40,2.1,IL,1604350609
Kumul,42.8,93.45,2.88,73,0,1.48,CN,1604350609
Tezu,27.92,96.17,20.0,85,22,1.48,IN,1604350610
Tuatapere,-46.13,167.68,12.22,75,65,0.89,NZ,1604350610
Iquique,-20.22,-70.14,19.0,63,0,8.7,CL,1604350610
Port Lincoln,-34.73,135.87,23.18,29,85,8.62,AU,1604350611
Ingrāj Bāzār,25.0,88.15,23.11,48,94,2.76,IN,1604350611
Cap Malheureux,-19.98,57.61,20.56,69,38,0.45,MU,1604350611
Umm Kaddadah,13.6,26.69,28.28,24,2,9.68,SD,1604350612
Palmer,42.16,-72.33,3.0,37,20,10.3,US,1604350612
Cayambe,0.05,-78.13,23.0,33,20,8.7,EC,1604350612
Kalispell,48.2,-114.31,10.56,49,1,1.01,US,1604350525
Chumikan,54.72,135.31,-8.98,96,100,8.83,RU,1604350613
Dongsheng,39.82,109.98,-1.13,75,0,2.97,CN,1604350613
Çanakkale Province,40.08,26.83,9.0,76,0,3.1,TR,1604350456
Phan Thiet,10.93,108.1,24.08,83,100,1.6,VN,1604350613
Palāsa,18.77,84.42,24.64,81,95,1.65,IN,1604350613
Vanimo,-2.67,141.3,26.3,77,100,1.91,PG,1604350614
Kuusamo,65.97,29.18,2.0,93,90,9.3,FI,1604350614
Oktyabr'skoye,43.06,44.74,6.0,93,85,2.0,RU,1604350614
Te Anau,-45.42,167.72,11.97,60,54,0.3,NZ,1604350615
Saltpond,5.21,-1.06,26.21,84,100,3.08,GH,1604350615
Usinsk,65.99,57.53,0.49,95,100,8.35,RU,1604350615
Yelan',50.95,43.74,6.48,71,100,3.2,RU,1604350615
San Luis,-33.3,-66.34,29.56,16,0,2.86,AR,1604350592
Boguchany,58.38,97.45,-4.84,96,33,2.7,RU,1604350616
Belaya Gora,68.53,146.42,-25.06,81,0,3.97,RU,1604350616
Wencheng,33.06,113.8,10.34,45,91,1.55,CN,1604350616
Fulton,33.77,-84.45,14.44,24,1,4.1,US,1604350616
San Andrés,12.58,-81.7,29.0,79,90,7.7,CO,1604350617
Curuçá,-0.73,-47.85,27.26,75,14,3.08,BR,1604350617
Kerema,-7.96,145.78,25.32,89,100,4.7,PG,1604350617
Anzio,41.49,12.62,15.56,87,5,1.5,IT,1604350618
Samarai,-10.62,150.67,27.82,81,65,3.04,PG,1604350618
Portland,-38.33,141.6,19.22,51,86,6.04,AU,1604350618
Yefremov,53.15,38.1,7.93,93,100,5.33,RU,1604350618
Coruripe,-10.13,-36.18,25.79,82,16,6.75,BR,1604350619
Kanigoro,-8.13,112.22,22.98,89,77,0.96,ID,1604350619
Deniliquin,-35.53,144.97,19.06,60,82,3.63,AU,1604350619
Geraldton,49.73,-86.95,4.0,60,75,7.7,CA,1604350619
Taoudenni,22.68,-3.98,27.25,16,100,3.73,ML,1604350619
Kupang,-10.17,123.58,26.07,75,100,2.45,ID,1604350620
São Filipe,14.9,-24.5,27.17,65,33,1.71,CV,1604350620
Constitucion,23.99,-104.67,22.0,17,5,4.6,MX,1604350620
Xicoténcatl,23.02,-98.88,29.44,42,3,6.71,MX,1604350620
Brewster,41.4,-73.62,4.0,38,1,7.7,US,1604350621
Dunedin,-45.87,170.5,11.67,68,100,12.07,NZ,1604350333
Oistins,13.07,-59.53,29.0,66,20,7.7,BB,1604350621
Eyl,7.98,49.82,26.81,74,10,8.27,SO,1604350622
Gravdal,68.12,13.5,7.0,93,75,1.5,NO,1604350622
Prieska,-29.66,22.75,25.41,20,0,5.05,ZA,1604350622
Energetik,51.74,58.79,3.34,81,0,1.41,RU,1604350622
High Level,58.52,-117.14,-7.0,100,90,1.5,CA,1604350623
Warrnambool,-38.38,142.48,17.22,69,81,3.13,AU,1604350623
Anáhuac,27.23,-100.15,24.0,27,5,2.88,MX,1604350623
Blue Springs,39.02,-94.28,18.33,31,1,6.2,US,1604350624
Karratha,-20.74,116.85,18.96,53,0,4.45,AU,1604350568
Salym,60.06,71.48,-3.68,98,96,2.26,RU,1604350624
Aleksandrovka,47.22,39.82,11.0,87,20,3.0,RU,1604350624
Manzhouli,49.6,117.43,-11.33,83,0,6.27,CN,1604350624
Kununurra,-15.77,128.73,24.0,83,48,3.52,AU,1604350625
Cidreira,-30.18,-50.21,18.16,59,0,3.6,BR,1604350625
Melville,50.92,-102.8,18.0,31,1,5.7,CA,1604350625
Tomatlán,19.93,-105.25,33.34,36,0,3.19,MX,1604350625
Kifrī,34.7,44.97,23.31,22,100,2.34,IQ,1604350626
Sangmélima,2.93,11.98,20.78,94,92,0.7,CM,1604350626
Sunrise Manor,36.21,-115.07,30.0,8,40,6.7,US,1604350626
Katobu,-4.94,122.53,23.88,88,100,1.98,ID,1604350626
Si Bun Rueang,16.97,102.28,21.6,84,84,1.24,TH,1604350627
